Post Text,Media Link,Media Type,Post Date,Likes Numeric,Comments Numeric,Shares Numeric
"Step inside District 23. No really, step inside. We’re giving you a fly-through look at Jordan Brand’s Parisian hub, located in the city’s brilliant 18th arrondissement. D23 is Jordan’s love letter to the diasporic cultures and international youth who inform basketball and all its dimensions — a living, breathing example of how to use sport’s greatest stage as an accelerator for lasting impact that serves the entire community, particularly the next generation.Leading the way as creative director is Youssouf Fofana, founder of the fashion label Maison Château Rouge. His vision takes form in an unforgettable six-week stretch of programming that Fofana has cultivated inside and around the historic former Tati Barbès department store, which has been renovated to offer a space for creativity and community.On the product front, one of his most memorable collaborations was a special Air Jordan I Mid, which took rich design cues from the contemporary African diaspora in Paris. So, how did his creative mindset change from designing a shoe to designing an entire building? Turns out, not much. “The two processes were very similar,” says Youssouf. “When you talk about that AJ I Mid, it was inspired by the neighborhood, by the diversity of its community. When I designed this space for District 23, I was also inspired by the community. The response from the people here has been so positive. When they see a collaboration between Jordan Brand and a local artist, and they go big, it inspires everybody.” Learn more about District 23 at https://lnkd.in/gZQ5WZn6hashtag#JordanBrand hashtag#District23



…more",None,Video,,0,0,0
"Stop us if you’ve heard this before: A special group of athletes traveled from places far and wide this summer to take on new challenges, and now, they’re in the final countdown for their main event.Who are they? Our Nike interns.Starting in June, more than 200 graduate and undergraduate students from across the United States joined our team at WHQ, immersing themselves in areas of our business from Design to Marketing to Finance and everything in-between. Their capstone is our annual Intern Combine – a four-day pitch competition where teams of interns work together to brainstorm new Nike initiatives from the ground up. Once their plan is set, they present their detailed proposals to leaders across Nike, Jordan and Converse, who give them equally detailed feedback.“The combine experience gave me new tools to work efficiently while under pressure,” says Bryan Santos-Paniagua, a Jordan Brand Marketing intern who is also an undergraduate student at the University of California, Santa Cruz. “Because my teammates worked in different functions across the business, we were also given the resources to think creatively about how to grow Nike. The diverse perspectives from my team meant everybody learned something from each other.”In addition to the combine, the interns are wrapping up their final individual projects specific to the business area they support. As the interns begin to share their final presentations and conclude their summer experience, we celebrate all of their hard-earned, valuable work. “It was exciting to not only work on a project that I was invested in, but to work on a project that my Nike team needed,” says Caro Treviso, a Finance and Sports Marketing intern who is also a graduate student at UCLA (One of Caro’s projects: researching three Jordan Brand World of Flight doors, seeing how the brand can win big). “I love Nike’s environment. I was given the freedom to ask questions and learn. I was encouraged to be my true self.”Learn more about the program at https://lnkd.in/d-iK3aThashtag#NikeInternship hashtag#CreateWhatsNext hashtag#SwooshLife hashtag#JustDoIt



…more",None,Video,,0,0,0
"Was that the most suspenseful gold-medal bout …ever? Foil fencer and Nike athlete Edgar Cheung Ka Long came out on top, defending his previous first-place finish in the Tokyo Games.His motto is, “Don’t lose your way,” his reminder to never forget why he started fencing in the first place: to enjoy the game and have fun.Congrats on the gold, Edgar Cheung Ka Long — again 🥇  🥇 Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"“I wanted to represent the tall-plus-size girl and really rock the beauty of being tall.” That’s Kym Hampton, a Nike North America Marketing Specialist, Community Partners, talking about the swagger she brought to the Air for everyWON Body Inclusivity Fashion Show, which featured 35 employee models from across the company and our NikeUNITED Networks. “It’s important to celebrate all bodies and all expressions,” she continues. “At the end of the day, we all want to be seen, heard and made to feel we matter. As a former professional athlete, I wanted to show how Nike’s apparel for tall-plus-sized women is evolving.”Every model’s look featured apparel from our spring collections and showcased decades of Nike Air Max innovation — including the Air Max Dn 🔥, which launches TOMORROW on Air Max Day. Here's how to get your pair: https://lnkd.in/dHWw5jAxhashtag#WomensHistoryMonth hashtag#AirMaxDay hashtag#AirMaxDn hashtag#JustDoIt



…more",None,Image,,0,0,0
"""Nike is changing the playbook again."" That’s Caroline Rogers Abero, Nike Sr. Design Director of Women’s Color Design for Footwear and Apparel, talking about the Electric Pack — the wild, far-out colorway that you’ll see in Paris. The colorway extends the unmistakable Nike tradition of using bold color choices to stand out on the track, the court, and almost every field of play.  The Electric Pack, co-led by Devon McKinney, was a career highlight for Caroline. For her, the root of the excitement was in seeing her inspiring teammates work together to bring the colorway to the world. Together, they modeled another unmistakable Nike tradition: give talented people the creative freedom to take something that might seem like a small detail, and then maximize its reach into a global moment through deep storytelling.  ""I’m in awe seeing the talent across our company,"" says Caroline. ""No one has the ability like Nike to make an impact when we really believe in something. I can’t wait to see the colorway out in the world."" Learn more about the Electric Pack: https://lnkd.in/gepwy8SBhashtag#NikeDesign hashtag#JustDoIt hashtag#SwooshLife



…more",None,Image,,0,0,0
"We’ve officially begun! Today, Nike athlete Giannis Antetokounmpo made history as Greece's first Black flag bearer, leading the athlete procession down the Seine.""There is nothing quite like this moment to bring out the best in Nike,” says Carl Grebert, VP/GM, Nike EMEA. “Seeing how the city of Paris is celebrating sport, the inspiration of our athletes and how our teammates are coming together to serve all athletes* is incredibly energizing."" Follow along here for Nike athlete celebrations and the unique moments that make us all love sport: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"Today's the day: the KD 4 Galaxy, the hit colorway of Kevin Durant's fourth signature shoe, is dropping on SNKRS. The original released right before the 2012 NBA All-Star Game, in which KD dropped 36 points and won the game's MVP.Throwing things back to last year's JDI Day, when KD put on a clinic (literally) for our employees on how to shoot the rock from deep.Check out the shoe at https://lnkd.in/gfVHWkXnhashtag#JDIDay hashtag#JustDoIt hashtag#SwooshLife



…more",None,Image,,0,0,0
"Our NIKE, Inc. teammates tapped into the spirit of celebration in recognition of Juneteenth with a series of events to honor the historic day of freedom. A few special guests — firstline athletes from Converse and Nike Air MI, retail stores and distribution centers — joined us at World Headquarters in Beaverton, Ore. for our hallmark Juneteenth events. Together, we united through the power of community and culture, and while reveling in this year’s commemorative theme: Looking Back, Marching Forward. From powerful conversations to exciting opportunities to collectively celebrate Juneteenth throughout NIKE, Inc., the energy was unmatched. But don’t just let us tell it — hear it from Janaea Wright, Visual Merchandising Specialist at our Elmwood, Louisiana store. hashtag#Juneteenth hashtag#JustDoIt hashtag#LifeAtNike



…more",None,Video,,0,0,0
"Need a fresh cut? Our teammates can swing by the Air Salon for a trim, touch-up or makeover from a team of pro stylists.Donal Smith has worked at Nike’s on-site salon for more than 30 years (That’s her giving the stellar manicure in the gallery below). She’s watched plenty of teammates put down their roots in the company and make their professional dreams a reality, their conversations flowing from the comfort of the styling chair.“In more than three decades as a stylist here, I’ve seen our employees grow, evolve and become leaders,” Donal says. “Come in for a session, and our team will take inspiration from your individual style as well as Nike’s sport heritage to address your needs.”hashtag#AirSalon hashtag#SwooshLife hashtag#JustDoIt



…more",None,Image,,0,0,0
"At Nike’s World Headquarters, you’ll catch us creating the future of sport — and memorializing the athletes who paved the way forward. Our Nike Women’s By The Decades exhibit in Steve Prefontaine Hall honors the groundbreaking women who’ve changed the game during the last 50 years, including track and field icon Mary Decker Slaney and marathon champion Joan Benoit Samuelson.They swung by to give their seal of approval. Great to see you Mary and Joanie 🤜 🤛 🏃‍♀️ hashtag#SwooshLife hashtag#Boundless hashtag#JustDoIt



…more",None,Image,,0,0,0
"Last week in Las Vegas, a select few had the chance to preview the adaptive performance product that athletes will wear in Paris this summer as they chase the podium. Teammates from the Nike Accessibility Center of Excellence, DEI Team, and the Disability Network attended the 2024 Disability:In Global Conference and Expo, the premier corporate accessibility and disability inclusion event of the year. Megan Lawrence, PhD, Nike’s Senior Director for Global Disability Inclusion and Accessibility, spoke as a featured panelist on Nike’s lineup of EasyOn footwear. Many of these innovative products were born from the passion of Nike employees, who both create the products and rigorously test them to best serve athletes of all abilities.  “Serving all athletes drives us toward bold innovation,” says Megan. “For the past 20 years, Nike innovation and EasyOn technology has been fueled by our disabled employees and adaptive athletes. We were excited to further share this story and the expanding EasyOn collection with corporate accessibility leaders as the world prepares for Paris.” Learn more about how we're investing in accessibility at https://lnkd.in/dpWnGc33hashtag#WinWithAccessibility hashtag#JustDoIt hashtag#SwooshLife



…more",None,Image,,0,0,0
"Looking for a feel-good read? Us too. So we found some of the people, programs and causes that best embody our core mission: serve athletes (emphasis on the serve). Click in and get some energy going into 2024. ✨ ✨ ✨ hashtag#SwooshStories hashtag#JustDoIt hashtag#LifeAtNike



…more",https://www.linkedin.com/newsletters/swoosh-stories-7069770441220902912,Article,,0,0,0
"At Nike, we believe basketball is more than just a game. It’s an opportunity to break barriers, build community and expand sport for the next generation. The newest N7 collection celebrates the power of the sport within the Indigenous community, something that hits close to home for Nike N7 General Manager Sam McCracken, a member of the Fort Peck Assiniboine and Sioux Tribes — and a former girls basketball coach at the high school level for more than 30 years throughout the Western United States.Through his current work with Nike N7, McCracken is committed to help give more Indigenous kids a chance to play basketball and other sports. The N7 Fund provides grants — administered by CAF America — to nonprofits that create youth access to sport in Indigenous communities across North America. This investment continues Nike’s legacy of support for Indigenous communities through the N7 Fund and other grants, totaling over $10.8 million to nearly 300 organizations since 2009.Two of our N7 Fund grantees — the Notah Begay III (NB3) Foundation  and Rise Above — are using the investment to help grow the game for girls. This year, NB3 created its first basketball team for Native American girls (ages 10-13), with an Indigenous woman as its head coach. Rise Above hosted multiple youth basketball clinics and has plans for an all-girls camp next summer.Coincidentally, Rise Above’s Co-Founder, Jaci McCormack, competed as a player against one of McCracken’s varsity girls high school teams in Beaverton, Ore. They may have been on opposing teams, but a shared passion for basketball and their community instantly connected them, says McCracken. “I’m so proud of the impact Jaci’s making, not only on young girls, but on so many kids in our community,” he says.Learn more about how Nike’s tapping into the power of basketball and other sports to level the playing field and build active, inclusive communities at https://lnkd.in/dkRgfFCxhashtag#SwooshLife hashtag#NativeAmericanHeritageMonth hashtag#NikeN7 hashtag#JustDoIt



…more",None,Image,,0,0,0
"Climate change is one of the most existential threats to sport we will ever face. And we know it isn’t just a sports issue — it’s a community issue too. That’s why Nike launched the Community Climate Resilience Program (CCRP) to help provide access to urban green spaces and parks and increase sports participation in the communities that need it most. In the year since CCRP launched, Nike has worked with Trust for Public Land to transform more than 117,000 square feet of public park space in New York City, Chicago and Los Angeles, serving nearly 100,000 adults and children. The positive outcomes have had a powerful impact on the employees working on the project too. “In some cases, we’re going into neighborhoods that are park deserts without walkable access to real green space. By creating and opening these spaces, we’re unlocking the first real public parks for many members of these communities,” says Patrick Reaves, Nike Director of Business Integration for Social and Community Impact, who’s helped lead the program. “The site visits have been especially meaningful. Going from brainstorming this project in our office to seeing tangible change — a finished green schoolyard for a community — is incredibly rewarding. And given the scale of climate inequity, I hope it's a catalyst for even more positive impact."" Find out more about how Nike is helping to improve communities’ climate resilience: https://lnkd.in/gzxKeTRy hashtag#JustDoIt hashtag#ClimateAction hashtag#SwooshLife



…more",None,Image,,0,0,0
"Do you hear it? The dribble of the ball, the shoes squeaking on the court, the swish of the net — basketball is in the air, baby! The newest Swoosh Stories arrives just in time for NBA Opening Day. We'll stack our lineup against anyone, from pinnacle products to elite players to the best experiences for hoopers the world over. Get in the game 🏀 hashtag#SwooshStories hashtag#JustDoIt



…more",https://www.linkedin.com/newsletters/swoosh-stories-7069770441220902912,Article,,0,0,0
"Nike’s disability community is key to our success and brings creativity, diversity of thought and lived experiences to everything we create. Simply put, disability is a strength.To recognize Disability Employee Awareness Month in October, we celebrated Nike’s inaugural Accessibility Summit, produced by the Disability Network and the Accessibility Center of Excellence. The Summit brought people together from across the company to share employee stories, learn about innovative accessible product and show how Nike builds a disability-inclusive workplace.A key moment of the summit featured a panel with Tobie Hatfield discussing his work for more than three decades in designing accessible sneakers with people with disabilities. For Hatfield, centering the product on athlete feedback has always been core to Nike’s philosophy.“Listening to the voice of the athlete is not just their voice, but it’s their mannerisms, it’s their character, it’s all of it,” says Hatfield, Nike’s Senior Director of Athlete Innovation. “At Nike, the ‘voice’ is emblematic of the whole athlete and the whole person.""Learn more about Nike’s Disability Network and other employment opportunities at: https://lnkd.in/gkfjbuBX hashtag#DisabiltyIsAStrength hashtag#DisabilityEmploymentAwarenessMonth hashtag#NDEAM hashtag#NikeAccessibilitySummit hashtag#InclusionDrivesInnovation



…more",None,Image,,0,0,0
"It’s big, big news when two household names join forces. That’s true at Nike & Jordan World of Flight Mexico City, where the two brands have teamed up in the famed Centro Histórico neighborhood to form NIKE Inc.’s only dual-brand presence, opening on July 11. At more than 22,000 square feet, it’s one of NIKE Inc.’s biggest retail spaces anywhere in the world. That story of twos also holds true for Alicia Nicollette Fucuy Arteaga, the retail destination’s Head Coach. For Alicia, her love of sport and her belief in positive leadership intersect through the responsibilities of her job, where she leads a talented team to help serve athletes across the Americas. From shooting hoops as a six-year-old alongside her father, to helping guide the future of sport retail for an entire continent, she’s embarked on a professional experience that’s brought together two of her biggest passions. For Alicia, that discovery has been life-changing. “As a leader, I’m very aware of the positive impact I can have on my team and on people who visit our store,” says Alicia. “I’m actually motivated by the challenges and lessons awaiting us as we begin here in Mexico City. That’s why being here as a Head Coach is the most rewarding professional experience of my life.”hashtag#WorldOfFlight hashtag#JustDoIt



…more",None,Image,,0,0,0
"Twenty years of dominating performances. Twenty years of redefining human potential. Twenty years of inspiration and indispensable partnership. Nike is celebrating two decades with Eliud Kipchoge, whose steadfast determination and gentle nature has forever changed the running community.This celebration also represents what is unique to working at Nike — the opportunity to learn from and serve the best of the best.“Very few athletes have been able to dominate their sport for so long, while serving a larger purpose for humanity, like Eliud,” says Andrea Casati, Nike EMEA Men’s Brand Manager, who's been with the champion since his gold medal win in Tokyo in 2021. “His magnetic presence matched with his humble demeanor have moved Nike to constantly raise the bar of excellence. Working with him, I personally feel that privilege and responsibility everyday. Eliud has pushed Nike's creativity on product innovation, brand inspiration and connection with runners around the world, all while we continue to witness his never-ending journey to enduring greatness in his sport.”Here's to 20 more, Eliud.Learn more about the barriers the world’s greatest marathoner has broken and how we’re celebrating him, worldwide: https://lnkd.in/g5Ubqxymhashtag#JustDoIt hashtag#SwooshLife hashtag#BreakingBarriers



…more",None,Image,,0,0,0
"“This event was more than a moment. It was a movement. And the job’s not finished.”This February, four NIKE teammates immersed themselves in the “Path to Progress” event in Washington D.C., an inspiring celebration of the milestone fourth year of NIKE’s Black Community Commitment (BCC). One of them was the teammate quoted above: Nakiah Williams, a Nike Athlete Experience (NAX) Trainer in New York City. Over two days, Williams had the opportunity to listen in on a series of panel conversations highlighting the work and impact of BCC grantees, participate in a special tour of the National Museum of African American History and Culture and more.“The BCC is helping to create a new narrative for the Black Community,” says Williams. “As a Nike employee, and as a leader within our Black Employee Network, I live, work and volunteer in the same communities we’re serving through the BCC. We're working firsthand to create that same narrative for change. You can’t help but be inspired by our future when you’re surrounded by the fearless ones, the change agents and the storytellers from the BCC grantees and the Nike, Jordan, and Converse Social & Community Impact teams.”Learn more about the celebration — and the path ahead — at https://lnkd.in/gavMu67hhashtag#BCC hashtag#BlackCommunityCommitment hashtag#PathToProgress hashtag#JustDoIt



…more",None,Video,,0,0,0
"Every year, one of NIKE, Inc.’s most important beliefs — that all kids should have the opportunity to play, regardless of background, gender or ability — comes to life right here on our WHQ campus.Through Nike’s longtime partnership with Special Olympics Oregon (SOOR), we had the privilege of hosting the SOOR Games last weekend, an opportunity to help introduce sport to nearly 500 young athletes with intellectual disabilities while celebrating the joy of movement with them and their families. And just as many Nike employees show up as volunteers. The SOOR Games is one of the fastest -filled employee volunteer events at our company. For many, the experience is an all-time Nike highlight, including for Paige La Flamme, a Nike Business Operations and Planning Lead in Technology Management, who also Co-Chairs Nike’s Disability Network. La Flamme says it’s only fitting that Nike’s spirit of volunteerism is so strong at the event. “The Special Olympics Youth Games is one of my favorite days of the year,” says La Flamme. “As a previous Special Olympics Oregon Intern, this organization and most importantly, the athletes, have a special place in my heart. It's amazing to see the power of the Nike Community come together to celebrate and show the collective strength of disability and the importance of sport through this event.”The SOOR Games are only one example of NIKE, Inc.’s commitment to support accessibility and disability. In honor of National Disability Employment Awareness Month, Nike’s Disability Employee Network will lead a number of events in October that highlight the company’s dedicated hiring programs and the ways in which Nike is increasing accessibility for employees of every background.Learn more about Nike’s employee networks at https://lnkd.in/gcxyit3Shashtag#LifeAtNike hashtag#JustDoIt hashtag#Nike hashtag#SOOR



…more",None,Image,,0,0,0
"We believe in the power of community. It’s through community that our company pursues its vision of creating a better world for all athletes — one that’s inclusive, equitable, diverse and sustainable. Our FY23 NIKE, Inc. Impact Report, which includes Jordan Brand and Converse, highlights the progress we’re making: helping to bring more kids into sport, championing creativity and self-expression for youth, creating a more resilient future for athletes and building equity inside and out of the company. Learn more about our FY23 NIKE, Inc. Impact Report: https://lnkd.in/ghKSxEWH hashtag#Nike hashtag#JustDoIt hashtag#SwooshLife



…more",None,Video,,0,0,0
"To mark World Engineering Day — a global recognition of the extraordinary minds shaping our future through innovation — we want to recognize our Nike engineers who work tirelessly to blend creativity with technical expertise to redefine sport and empower athletes worldwide.  Here, take a behind-the-scenes look at how Nike engineer Sonia Lucia C. is making a difference in the digital accessibility space. hashtag#WorldEngineeringDay hashtag#NikeInnovation hashtag#LifeatNike



…more",None,Video,,0,0,0
"Nine major U.S. cities. Seventy-eight youth organizations. Two partners who share a common vision: create a space for all girls who ball to find joy in play, and feel seen, empowered and connected to a community — on and off the basketball court.Beginning in 2021, Nike partnered with DICK'S Sporting Goods (DSG) to create “It’s Her Shot,” an experience that hosts hundreds of young girls for games, clinics and programs. The beauty of this partnership, says Mindy Helmer, is in the shared values. The Nike Director of Partner Marketing helps lead conversations between Nike and DSG on how sport can, and should, leave a positive impact on everyone, especially girls.“One of the special parts about working at Nike is getting to work across so many different groups to do a project,” says Helmer, who’s been in the job for nearly three years. “From Social & Community Impact to Communications to Sports Marketing, everyone involved in the program is just as passionate as I am about giving these girls an incredible experience and a newfound community through sport. This project has been a culmination of everything I’ve believed in during my 13-year Nike career about helping young girls find a sense of belonging.”And it's not the only example. Learn more about Nike’s unique partnership to help build body confidence in girls: https://lnkd.in/ewJ3WRNYhashtag#SwooshLife hashtag#JustDoIt hashtag#ItsHerShot2023



…more",None,Video,,0,0,0
